<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zagros.Kosar.Power,20200426,12676.00,12676.00,12000.00,12585.00,178361281862,14172754,2514,D,12073.00,12676.00
Zagros.Kosar.Power,20200425,12106.00,12106.00,12106.00,12073.00,49503467808,4089168,677,D,11530.00,12106.00
Zagros.Kosar.Power,20200422,11360.00,11795.00,10991.00,11530.00,155378904829,13476453,3203,D,11234.00,11795.00
Zagros.Kosar.Power,20200421,11301.00,11549.00,11069.00,11234.00,95560244703,8505998,2459,D,11301.00,11150.00
Zagros.Kosar.Power,20200420,10829.00,11600.00,10655.00,11301.00,91883675785,8130735,2335,D,11074.00,11381.00
Zagros.Kosar.Power,20200419,11749.00,11749.00,10829.00,11074.00,160427045166,14487097,3882,D,11398.00,10829.00
Zagros.Kosar.Power,20200418,11400.00,11420.00,11207.00,11398.00,101643452121,8917476,2709,D,10877.00,11409.00
Zagros.Kosar.Power,20200415,10202.00,10914.00,10202.00,10877.00,82582789172,7592429,2190,D,10395.00,10914.00
Zagros.Kosar.Power,20200414,10200.00,10630.00,10159.00,10395.00,98989256989,9522497,3200,D,10693.00,10330.00
Zagros.Kosar.Power,20200413,11350.00,11350.00,10549.00,10693.00,116912033372,10933446,2799,D,11104.00,10800.00
Zagros.Kosar.Power,20200412,10699.00,11380.00,10699.00,11104.00,136189252470,12264479,3360,D,11132.00,11000.00
Zagros.Kosar.Power,20200411,11700.00,11700.00,10759.00,11132.00,119079398305,10696618,3219,D,11325.00,10759.00
Zagros.Kosar.Power,20200408,11250.00,11348.00,10991.00,11325.00,175491275406,15495414,2373,D,10808.00,11348.00
Zagros.Kosar.Power,20200407,10800.00,10868.00,10352.00,10808.00,69875830113,6465469,1739,D,10351.00,10868.00
Zagros.Kosar.Power,20200406,10751.00,10751.00,9811.00,10351.00,99502750588,9613109,3100,D,10240.00,10678.00
Zagros.Kosar.Power,20200405,10070.00,10381.00,9950.00,10240.00,82014585819,8009485,2164,D,9887.00,10381.00
Zagros.Kosar.Power,20200404,9799.00,9941.00,9600.00,9887.00,106875087734,10809329,2669,D,9468.00,9941.00
Zagros.Kosar.Power,20200330,9580.00,9700.00,9376.00,9468.00,102602061584,10836268,3046,D,9869.00,9640.00
Zagros.Kosar.Power,20200329,10027.00,10027.00,9500.00,9869.00,122043599144,12365832,3307,D,9550.00,9654.00
Zagros.Kosar.Power,20200328,9678.00,9678.00,9351.00,9550.00,39052107061,4041234,835,D,9218.00,9678.00
